video_name,start,end,new_name
2026-03-11_031159,0:02,0:09,tether1
2026-03-11_031159,0:20,0:29,tether2
2026-03-11_031159,0:48,0:57,tether3
2026-03-11_031159,1:02,1:11,tether4
2026-03-11_031159,1:19,1:26,tether5
2026-03-11_031159,1:37,1:45,tether6
2026-03-11_031159,1:51,1:58,tether7
2026-03-11_031159,2:04,2:12,tether8
2026-03-11_031159,2:19,2:26,tether9
2026-03-11_031159,2:32,2:40,tether10
2026-03-13_034442,0:03,1:41,jona_holdings
2026-03-24_033415,0:09,0:14,glove_stick1
2026-03-24_033415,0:25,0:32,glove_stick2
2026-03-24_033415,0:37,0:44,glove_stick3
2026-03-24_033415,0:53,1:01,glove_stick4
p01_no_manual,0:10,0:27,P01_1
r550_no_manual,0:02,0:07,r550_no_manaul
2026-04-16_063517,1:42,1:50,p01_with_ac
2026-04-16_063517,1:53,2:00,p01_with_ac_2
2026-04-16_063517,2:09,2:19,p01_no_ac
2026-04-16_063517,0:00,1:42,p01_test
2video_2026-06-07_000633,0:10,1:39,hph_01
2video_2026-06-07_001010,0:06,1:31,hph_02
2video_2026-06-07_000823,0:09,1:39,hph_03
